ID	Gene Name	Species	GOTERM_MF_DIRECT
SLC5A2	solute carrier family 5 member 2(SLC5A2)	Homo sapiens	GO:0005215~transporter activity,GO:0005362~low-affinity glucose:sodium symporter activity,GO:0005412~glucose:sodium symporter activity,
SLC5A7	solute carrier family 5 member 7(SLC5A7)	Homo sapiens	GO:0005215~transporter activity,GO:0005307~choline:sodium symporter activity,GO:0015220~choline transmembrane transporter activity,GO:0033265~choline binding,
SLC6A15	solute carrier family 6 member 15(SLC6A15)	Homo sapiens	GO:0005298~proline:sodium symporter activity,GO:0005326~neurotransmitter transporter activity,GO:0005328~neurotransmitter:sodium symporter activity,GO:0015171~amino acid transmembrane transporter activity,
SLC6A17	solute carrier family 6 member 17(SLC6A17)	Homo sapiens	GO:0005328~neurotransmitter:sodium symporter activity,GO:0015171~amino acid transmembrane transporter activity,
SLC6A2	solute carrier family 6 member 2(SLC6A2)	Homo sapiens	GO:0005328~neurotransmitter:sodium symporter activity,GO:0005330~dopamine:sodium symporter activity,GO:0005334~norepinephrine:sodium symporter activity,GO:0005515~protein binding,GO:0008504~monoamine transmembrane transporter activity,GO:0043014~alpha-tubulin binding,GO:0046872~metal ion binding,GO:0048487~beta-tubulin binding,
SLC7A13	solute carrier family 7 member 13(SLC7A13)	Homo sapiens	GO:0015175~neutral amino acid transmembrane transporter activity,GO:0015179~L-amino acid transmembrane transporter activity,GO:0015297~antiporter activity,
SLC7A4	solute carrier family 7 member 4(SLC7A4)	Homo sapiens	GO:0015171~amino acid transmembrane transporter activity,GO:0015174~basic amino acid transmembrane transporter activity,GO:0015179~L-amino acid transmembrane transporter activity,GO:0015297~antiporter activity,
SLC7A8	solute carrier family 7 member 8(SLC7A8)	Homo sapiens	GO:0005515~protein binding,GO:0015101~organic cation transmembrane transporter activity,GO:0015171~amino acid transmembrane transporter activity,GO:0015175~neutral amino acid transmembrane transporter activity,GO:0015179~L-amino acid transmembrane transporter activity,GO:0015297~antiporter activity,GO:0019534~toxin transporter activity,GO:0042605~peptide antigen binding,
SLC9A4	solute carrier family 9 member A4(SLC9A4)	Homo sapiens	GO:0015385~sodium:proton antiporter activity,GO:0015386~potassium:proton antiporter activity,
SLCO1A2	solute carrier organic anion transporter family member 1A2(SLCO1A2)	Homo sapiens	GO:0005215~transporter activity,GO:0008514~organic anion transmembrane transporter activity,GO:0015125~bile acid transmembrane transporter activity,GO:0015347~sodium-independent organic anion transmembrane transporter activity,
SALL3	spalt like transcription factor 3(SALL3)	Homo sapiens	GO:0003676~nucleic acid binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,GO:0046872~metal ion binding,
SPTBN2	spectrin beta, non-erythrocytic 2(SPTBN2)	Homo sapiens	GO:0003779~actin binding,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005200~structural constituent of cytoskeleton,GO:0005543~phospholipid binding,GO:0098641~cadherin binding involved in cell-cell adhesion,
SPSB4	splA/ryanodine receptor domain and SOCS box containing 4(SPSB4)	Homo sapiens	GO:0005515~protein binding,
STRA6	stimulated by retinoic acid 6(STRA6)	Homo sapiens	GO:0004872~receptor activity,GO:0051183~vitamin transporter activity,
SYNGR3	synaptogyrin 3(SYNGR3)	Homo sapiens	GO:0042169~SH2 domain binding,GO:0047485~protein N-terminus binding,
SYT1	synaptotagmin 1(SYT1)	Homo sapiens	GO:0000149~SNARE binding,GO:0001786~phosphatidylserine binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005544~calcium-dependent phospholipid binding,GO:0005545~1-phosphatidylinositol binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0008022~protein C-terminus binding,GO:0017075~syntaxin-1 binding,GO:0030276~clathrin binding,GO:0042802~identical protein binding,GO:0048306~calcium-dependent protein binding,GO:0050750~low-density lipoprotein particle receptor binding,
SYT14	synaptotagmin 14(SYT14)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,
SYBU	syntabulin(SYBU)	Homo sapiens	GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0017075~syntaxin-1 binding,GO:0019894~kinesin binding,
TACR3	tachykinin receptor 3(TACR3)	Homo sapiens	GO:0004995~tachykinin receptor activity,GO:0005515~protein binding,
TNMD	tenomodulin(TNMD)	Homo sapiens	GO:0005515~protein binding,
TNS4	tensin 4(TNS4)	Homo sapiens	GO:0003779~actin binding,GO:0005515~protein binding,
TDGF1P3	teratocarcinoma-derived growth factor 1 pseudogene 3(TDGF1P3)	Homo sapiens	GO:0008083~growth factor activity,
TDGF1	teratocarcinoma-derived growth factor 1(TDGF1)	Homo sapiens	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,
TCEAL2	transcription elongation factor A like 2(TCEAL2)	Homo sapiens	GO:0050699~WW domain binding,
TCF21	transcription factor 21(TCF21)	Homo sapiens	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0042826~histone deacetylase binding,GO:0043425~bHLH transcription factor binding,GO:0046983~protein dimerization activity,GO:0050681~androgen receptor binding,GO:0070888~E-box binding,
TCF24	transcription factor 24(TCF24)	Homo sapiens	GO:0003677~DNA binding,GO:0046983~protein dimerization activity,
TFAP2B	transcription factor AP-2 beta(TFAP2B)	Homo sapiens	GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000983~transcription factor activity, RNA polymerase II core promoter sequence-specific,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001105~RNA polymerase II transcription coactivator activity,GO:0001106~RNA polymerase II transcription corepressor activity,GO:0001158~enhancer sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003713~transcription coactivator activity,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0043027~cysteine-type endopeptidase inhibitor activity involved in apoptotic process,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,
TBL1Y	transducin beta like 1, Y-linked(TBL1Y)	Homo sapiens	GO:0003714~transcription corepressor activity,
TGM7	transglutaminase 7(TGM7)	Homo sapiens	GO:0003810~protein-glutamine gamma-glutamyltransferase activity,GO:0046872~metal ion binding,
TRPM6	transient receptor potential cation channel subfamily M member 6(TRPM6)	Homo sapiens	GO:0004674~protein serine/threonine kinase activity,GO:0005261~cation channel activity,GO:0005262~calcium channel activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0046872~metal ion binding,
TRPV5	transient receptor potential cation channel subfamily V member 5(TRPV5)	Homo sapiens	GO:0005262~calcium channel activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0046872~metal ion binding,
TRPV6	transient receptor potential cation channel subfamily V member 6(TRPV6)	Homo sapiens	GO:0005262~calcium channel activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0046872~metal ion binding,
TMPRSS4	transmembrane protease, serine 4(TMPRSS4)	Homo sapiens	GO:0004252~serine-type endopeptidase activity,GO:0005044~scavenger receptor activity,GO:0005515~protein binding,
TMEM38A	transmembrane protein 38A(TMEM38A)	Homo sapiens	GO:0005261~cation channel activity,GO:0005267~potassium channel activity,GO:0015269~calcium-activated potassium channel activity,
TRIM63	tripartite motif containing 63(TRIM63)	Homo sapiens	GO:0004842~ubiquitin-protein transferase activity,GO:0004871~signal transducer activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0031432~titin binding,
TNNC1	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0031013~troponin I binding,GO:0031014~troponin T binding,GO:0042803~protein homodimerization activity,GO:0048306~calcium-dependent protein binding,GO:0051015~actin filament binding,
TNNI1	troponin I1, slow skeletal type(TNNI1)	Homo sapiens	GO:0003779~actin binding,GO:0005515~protein binding,GO:0046872~metal ion binding,
TNNI2	troponin I2, fast skeletal type(TNNI2)	Homo sapiens	GO:0003779~actin binding,GO:0005515~protein binding,GO:0031014~troponin T binding,
TNNT2	troponin T2, cardiac type(TNNT2)	Homo sapiens	GO:0003779~actin binding,GO:0005515~protein binding,GO:0005523~tropomyosin binding,GO:0030172~troponin C binding,GO:0030674~protein binding, bridging,GO:0031013~troponin I binding,
TACSTD2	tumor-associated calcium signal transducer 2(TACSTD2)	Homo sapiens	GO:0004872~receptor activity,GO:0005515~protein binding,
TYRP1	tyrosinase related protein 1(TYRP1)	Homo sapiens	GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0016716~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,
USP44	ubiquitin specific peptidase 44(USP44)	Homo sapiens	GO:0004843~thiol-dependent ubiquitin-specific protease activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0036459~thiol-dependent ubiquitinyl hydrolase activity,
UNC13C	unc-13 homolog C(UNC13C)	Homo sapiens	GO:0004871~signal transducer activity,GO:0004872~receptor activity,GO:0019992~diacylglycerol binding,GO:0046872~metal ion binding,
UPP2	uridine phosphorylase 2(UPP2)	Homo sapiens	GO:0004850~uridine phosphorylase activity,GO:0005515~protein binding,
UMOD	uromodulin(UMOD)	Homo sapiens	GO:0005201~extracellular matrix structural constituent,GO:0005509~calcium ion binding,GO:0019864~IgG binding,
VAT1L	vesicle amine transport 1 like(VAT1L)	Homo sapiens	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,
VGLL1	vestigial like family member 1(VGLL1)	Homo sapiens	GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,GO:0003713~transcription coactivator activity,GO:0008022~protein C-terminus binding,
VTN	vitronectin(VTN)	Homo sapiens	GO:0005044~scavenger receptor activity,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0008201~heparin binding,GO:0030247~polysaccharide binding,GO:0042802~identical protein binding,GO:0050840~extracellular matrix binding,
VWA2	von Willebrand factor A domain containing 2(VWA2)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0042802~identical protein binding,
VWDE	von Willebrand factor D and EGF domains(VWDE)	Homo sapiens	GO:0005509~calcium ion binding,
ZNF488	zinc finger protein 488(ZNF488)	Homo sapiens	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0046872~metal ion binding,
ZNF536	zinc finger protein 536(ZNF536)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0044323~retinoic acid-responsive element binding,GO:0046872~metal ion binding,
ZNF750	zinc finger protein 750(ZNF750)	Homo sapiens	GO:0001046~core promoter sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0005515~protein binding,GO:0046872~metal ion binding,
ZNF804B	zinc finger protein 804B(ZNF804B)	Homo sapiens	GO:0046872~metal ion binding,
